"time", "liberal percentage", "conservative percentage", "liberal positive", "liberal negative", "conservative positive", "conservative negative"
"02:16:12", "67.956051", "32.043949", "13545.000000", "-115.000000", "6272.000000", "0.000000"
"02:16:42", "67.777154", "32.222846", "13142.000000", "-59.000000", "6257.000000", "-143.000000"
"02:17:12", "25.096437", "74.903563", "2069.000000", "-6434.000000", "168.000000", "-143.000000"
"02:17:42", "69.096063", "30.903937", "15112.000000", "-6375.000000", "384.000000", "0.000000"
"02:18:12", "71.063200", "28.936800", "16810.000000", "-6461.000000", "384.000000", "0.000000"
"02:18:42", "16.369681", "83.630319", "16466.000000", "-1495.000000", "83031.000000", "-79.000000"
"02:19:12", "1.310342", "98.689658", "1051.000000", "-2081.000000", "83026.000000", "-79.000000"
"02:19:42", "28.896931", "71.103069", "20233.000000", "-1854.000000", "83026.000000", "-14263.000000"
"02:20:12", "13.879414", "86.120586", "21299.000000", "-219986.000000", "183.000000", "-14184.000000"
"02:20:42", "1.061038", "98.938962", "2357.000000", "-219614.000000", "170.000000", "0.000000"
"02:21:13", "3.612542", "96.387458", "2545.000000", "-8446.000000", "59458.000000", "0.000000"
"02:21:44", "98.607379", "1.392621", "4810418.000000", "-8445.000000", "59492.000000", "0.000000"
"02:22:15", "93.501102", "6.498898", "9600925.000000", "-40924.000000", "626399.000000", "0.000000"
"02:22:45", "94.110679", "5.889321", "9600540.000000", "-33848.000000", "566941.000000", "0.000000"
"02:23:15", "7.039880", "92.960120", "2715.000000", "-33848.000000", "2003.000000", "0.000000"
"02:23:45", "29.067493", "70.932507", "1783.000000", "-728.000000", "3623.000000", "0.000000"
"02:24:16", "27.311455", "72.688545", "1731.000000", "-1106.000000", "3501.000000", "0.000000"
